Sample name	Virus	BH p-value	Raw p-value	Orig p-value	Assigned counts	Assigned peptides	Total sample hits	Total filtered sample hits
TAB007	d__Viruses;-__dsDNA_viruses__no_RNA_stage;f__Adenoviridae;g__Mastadenovirus;s__Human_mastadenovirus_F	0.03916228050044934	0.0002463036509462223	0.00025893263042520013	28.001	9177;44594;44593;77121;77120;15363;14595;15369;12150;12149;15373;22976;16138;31225;31241;12396;16828;21350;21454;21516;22983;23000;43135;44750;54317;54484;54485;57087	372.0	326.0
TAB007	d__Viruses;-__dsDNA_viruses__no_RNA_stage;f__Adenoviridae;g__Mastadenovirus;s__Human_mastadenovirus_G	0.028933326166160435	9.098530240930955e-05	9.098530240930955e-05	30.001	9177;44594;44593;77121;77120;15363;14595;15369;12150;12149;15373;22976;16138;31225;31241;12396;16828;21350;21454;21516;22983;23000;43135;44750;54317;54484;54485;57087;57088;76981	372.0	326.0
TAB008	d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;f__Flaviviridae;g__Flavivirus;-__unclassified_Flavivirus;s__Tamana_bat_virus	0.018892368611194716	5.42884155494101e-05	5.42884155494101e-05	10.001	89461;27637;86106;86131;86132;86044;42181;50643;86849;74735	280.0	265.0
TAB009	d__Viruses;-__dsDNA_viruses__no_RNA_stage;f__Papillomaviridae;-__unclassified_Papillomaviridae;-__Human_papillomavirus_types;s__Human_papillomavirus_type_78	0.0310351691233498	0.002845631552857288	0.005813273135000258	43.005	6712;68314;24362;39057;43441;35265;22628;67072;67779;64346;20521;43935;68347;24304;45295;39019;38816;38552;16490;35244;38632;38813;39870;43469;43470;43487;43488;43497;43596;44165;45232;45233;45250;49648;50288;50357;50821;50899;67078;67134;68308;68309;76423	612.0	574.0
TAB009	d__Viruses;-__dsDNA_viruses__no_RNA_stage;f__Papillomaviridae;g__Alphapapillomavirus;s__Alphapapillomavirus_2	0.032093226345853355	0.003034603064221091	0.006297056975048712	45.005	6712;68314;24362;39057;43441;35265;22628;67072;67779;64346;20521;43935;68347;24304;45295;39019;38816;38552;16490;23080;35244;38632;38813;39870;43469;43470;43487;43488;43497;43596;44165;45232;45233;45250;49648;50288;50357;50700;50821;50899;67078;67134;68308;68309;76423	612.0	574.0
TAB009	d__Viruses;-__dsRNA_viruses;f__Picobirnaviridae;g__Picobirnavirus;s__Human_picobirnavirus	0.02244741171922893	0.0019295769386156673	0.0022940249855476595	8.0	11417;74789;12829;12791;12867;12866;12810;12886	612.0	574.0
TAB009	d__Viruses;-__ssDNA_viruses;f__Circoviridae;g__Circovirus;s__Porcine_circovirus_2	0.0013596376108421055	0.00010518686387603682	0.00012443782744654317	8.003	86466;86415;86005;40750;41517;42142;86634;74696	612.0	574.0
TAB009	d__Viruses;-__ssRNA_viruses;-__ssRNA_negative_strand_viruses;f__Orthomyxoviridae;g__Influenzavirus_B;s__Influenza_B_virus	0.0027232424246505012	0.0002184836329232494	0.00036637920370733053	43.004	83031;83155;83061;93357;83282;94734;83206;70784;83023;92910;83171;83345;83326;83250;53711;83036;92936;83372;83076;83181;83212;83044;83102;83131;83267;83365;83278;83303;83378;83166;95573;83883;83855;24902;81596;94857;53311;83875;83721;60982;83846;83841;83910	612.0	574.0
TAB009	d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;f__Flaviviridae;g__Flavivirus;-__tick_borne_encephalitis_virus_group;s__Phnom_Penh_bat_virus	0.02607369773509156	0.00231600180454968	0.004007114204490332	27.003	5644;27543;27597;27598;86466;32952;86415;37726;40405;86005;40750;40751;41372;41517;42141;42142;49968;50643;86963;86791;86864;86633;86634;86691;89716;74695;74696	612.0	574.0
TAB009	d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;f__Togaviridae;g__Alphavirus;-__EEEV_complex;s__Eastern_equine_encephalitis_virus	0.0002677553106310349	1.2252735147075992e-05	1.5064029081515843e-05	32.002	94861;94862;90318;90264;28037;32525;32526;90347;90348;32636;40058;40109;42801;42872;42873;90792;90793;42916;42917;55635;94849;94850;56560;58204;58205;89953;89954;70956;71072;71090;71120;78591	612.0	574.0
