"rank","ID","virus_family","virus_subfamily","virus_genus","cat","bat_species"
1,"Pa41","Adenoviridae","Adenoviridae","Mastadenovirus","virus_genus","Pteropus alecto"
1,"Pa41","Orthomyxoviridae","Orthomyxoviridae","Influenzavirus_C","virus_genus","Pteropus alecto"
1,"Pa41","Picornaviridae","Ensavirinae","Enterovirus","virus_genus","Pteropus alecto"
1,"Pa41","Retroviridae","Orthoretrovirinae","Lentivirus","virus_genus","Pteropus alecto"
2,"Pa6","Adenoviridae","Adenoviridae","Mastadenovirus","virus_genus","Pteropus alecto"
2,"Pa6","Arenaviridae","Arenaviridae","Mammarenavirus","virus_genus","Pteropus alecto"
2,"Pa6","Circoviridae","Circoviridae","Circovirus","virus_genus","Pteropus alecto"
2,"Pa6","Filoviridae","Filoviridae","Ebolavirus","virus_genus","Pteropus alecto"
2,"Pa6","Flaviviridae","Flaviviridae",NA,"virus_subfamily","Pteropus alecto"
2,"Pa6","Retroviridae","Spumaretrovirinae","Spumavirus","virus_genus","Pteropus alecto"
3,"Pa88","Adenoviridae","Adenoviridae","Mastadenovirus","virus_genus","Pteropus alecto"
3,"Pa88","Arenaviridae","Arenaviridae","Mammarenavirus","virus_genus","Pteropus alecto"
3,"Pa88","Paramyxoviridae","Orthoparamyxovirinae","Henipavirus","virus_genus","Pteropus alecto"
3,"Pa88","Reoviridae","Sedoreovirinae","Rotavirus","virus_genus","Pteropus alecto"
3,"Pa88","Retroviridae",NA,NA,"virus_family","Pteropus alecto"
4,"Pa87","Adenoviridae","Adenoviridae","Mastadenovirus","virus_genus","Pteropus alecto"
4,"Pa87","Rhabdoviridae","Alpharhabdovirinae","Lyssavirus","virus_genus","Pteropus alecto"
4,"Pa87","unclassified_family","Kolmioviridae","Deltavirus","virus_genus","Pteropus alecto"
5,"Pa24","Adenoviridae","Adenoviridae","Mastadenovirus","virus_genus","Pteropus alecto"
5,"Pa24","Arenaviridae","Arenaviridae","unc. Arena","virus_genus","Pteropus alecto"
5,"Pa24","Paramyxoviridae",NA,NA,"virus_family","Pteropus alecto"
5,"Pa24","Picornaviridae",NA,NA,"virus_family","Pteropus alecto"
5,"Pa24","Poxviridae","Chordopoxvirinae","Orthopoxvirus","virus_genus","Pteropus alecto"
6,"Pa69","Adenoviridae","Adenoviridae","Mastadenovirus","virus_genus","Pteropus alecto"
6,"Pa69","Hantaviridae","Mammantavirinae","Orthohantavirus","virus_genus","Pteropus alecto"
6,"Pa69","unclassified_family","Kolmioviridae","Deltavirus","virus_genus","Pteropus alecto"
7,"Pa19","Adenoviridae","Adenoviridae","Mastadenovirus","virus_genus","Pteropus alecto"
7,"Pa19","Alphaherpesvirinae","Alphaherpesvirinae","Simplexvirus","virus_genus","Pteropus alecto"
7,"Pa19","Orthomyxoviridae","Orthomyxoviridae",NA,"virus_subfamily","Pteropus alecto"
7,"Pa19","Papillomaviridae",NA,NA,"virus_family","Pteropus alecto"
7,"Pa19","Parvoviridae","Parvovirinae","Erythroparvovirus","virus_genus","Pteropus alecto"
7,"Pa19","Polyomaviridae","Polyomaviridae",NA,"virus_subfamily","Pteropus alecto"
7,"Pa19","Retroviridae","Orthoretrovirinae","Gammaretrovirus","virus_genus","Pteropus alecto"
7,"Pa19","Rhabdoviridae","Alpharhabdovirinae","Lyssavirus","virus_genus","Pteropus alecto"
7,"Pa19","Togaviridae","Togaviridae","Alphavirus","virus_genus","Pteropus alecto"
8,"Pa34","Adenoviridae","Adenoviridae","Mastadenovirus","virus_genus","Pteropus alecto"
8,"Pa34","Hepeviridae","Orthohepevirinae",NA,"virus_subfamily","Pteropus alecto"
8,"Pa34","Rhabdoviridae","Alpharhabdovirinae","Vesiculovirus","virus_genus","Pteropus alecto"
9,"Pa79","Adenoviridae","Adenoviridae","Mastadenovirus","virus_genus","Pteropus alecto"
